chr	start	cen.left.base	cen.right.base	end
1	522476	121535434	124535434	249239465
2	500037	92326171	95326171	243091385
3	500035	90504854	93504854	197921049
4	500033	49660117	52660117	191043593
5	500222	46405641	49405641	180811077
6	500015	58830166	61830166	171051269
7	500092	58054331	61054331	159128550
8	500278	43838887	46838887	146301381
9	500075	47367679	50367679	141127771
10	500016	39254935	42254935	135523763
11	500056	51644205	54644205	134946451
12	500070	34856694	37856694	133841466
13	1	16000000	19000000	115109852
14	1	16000000	19000000	107289453
15	1	17000000	20000000	102520965
16	500031	35335801	38335801	90292811
17	500050	22263006	25263006	81194235
18	500037	15460898	18460898	78017128
19	500012	24681782	27681782	59118797
20	500184	26369569	29369569	62965162
21	1	11288129	14288129	48119751
22	1	13000000	16000000	51242613
23	1	58632012	61632012	155270560
