chr	start	cen.left.base	cen.right.base	end
1	1	122026460	125184587	248956422
2	1	92188146	94090557	242193529
3	1	90772459	93655574	198295559
4	1	49708101	51743951	190214555
5	1	46485901	50059807	181538259
6	1	58553889	59829934	170805979
7	1	58169654	60828234	159345973
8	1	44033745	45877265	145138636
9	1	43236168	45518558	138394717
10	1	39686683	41593521	133797422
11	1	51078349	54425074	135086622
12	1	34769408	37185252	133275309
13	1	16000001	18051248	114364328
14	1	16000001	18173523	107043718
15	1	17000001	19725254	101991189
16	1	36311159	38280682	90338345
17	1	22813680	26885980	83257441
18	1	15460900	20861206	80373285
19	1	24498981	27190874	58617616
20	1	26436233	30038348	64444167
21	1	10864561	12915808	46709983
22	1	12954789	15054318	50818468
23	1	58605580	62412542	156040895
